src,timestamp,coordination.x,coordination.y,displacement.dx,displacement.dy
M_SCR,1669545755.453,1854,691,0,-1
M_SCR,1669545755.543,1854,699,0,-1
M_SCR,1669545755.627,1856,714,0,-1
M_SCR,1669545755.709,1856,721,0,-1
M_SCR,1669572927.388,1962,986,0,-1
M_SCR,1669572927.406,1962,989,0,-1
M_SCR,1669572927.449,1962,995,0,-1
M_SCR,1669572927.516,1965,998,0,-1
M_SCR,1669572955.941,1954,778,0,-1
M_SCR,1669572956.3,1954,780,0,-1
M_SCR,1669572956.312,1954,780,0,-1
M_SCR,1669590772.872,2167,1028,0,-1
M_SCR,1669590772.905,2167,1028,0,-1
M_SCR,1669590772.942,2168,1028,0,-1
M_SCR,1669590804.502,1259,658,0,-1
M_SCR,1669590804.57,1260,662,0,-1
M_SCR,1669590804.602,1260,662,0,-1
M_SCR,1669590804.633,1260,663,0,-1
M_SCR,1669590804.93,1262,667,0,1
M_SCR,1669590804.942,1262,667,0,1
M_SCR,1669590804.951,1262,667,0,1
M_SCR,1669590804.96,1262,667,0,1
M_SCR,1669590804.976,1262,667,0,1
M_SCR,1669590804.99,1262,667,0,1
M_SCR,1669590804.999,1262,667,0,1
M_SCR,1669590805.015,1262,667,0,1
M_SCR,1669590805.032,1262,667,0,1
M_SCR,1669590805.048,1262,667,0,1
M_SCR,1669590805.064,1262,667,0,1
M_SCR,1669590805.088,1262,667,0,1
M_SCR,1669590805.104,1262,667,0,1
M_SCR,1669590805.12,1262,667,0,1
M_SCR,1669590805.145,1262,667,0,1
M_SCR,1669590805.17,1262,667,0,1
M_SCR,1669590805.194,1262,667,0,1
M_SCR,1669590805.218,1262,667,0,1
M_SCR,1669590805.25,1262,667,0,1
M_SCR,1669590805.449,1262,667,0,-1
M_SCR,1669590805.461,1262,668,0,-1
M_SCR,1669590805.466,1262,668,0,-1
M_SCR,1669590805.477,1262,669,0,-1
M_SCR,1669590805.486,1262,670,0,-1
M_SCR,1669590805.495,1262,672,0,-1
M_SCR,1669590805.503,1263,674,0,-1
M_SCR,1669590805.511,1264,674,0,-1
M_SCR,1669590805.518,1264,674,0,-1
M_SCR,1669590805.521,1264,674,0,-1
M_SCR,1669590805.528,1264,674,0,-1
M_SCR,1669590805.542,1264,674,0,-1
M_SCR,1669590805.545,1264,674,0,-1
M_SCR,1669590805.55,1264,674,0,-1
M_SCR,1669590805.557,1264,674,0,-1
M_SCR,1669590805.565,1264,674,0,-1
M_SCR,1669590805.577,1264,674,0,-1
M_SCR,1669590805.583,1264,674,0,-1
M_SCR,1669590805.591,1264,674,0,-1
M_SCR,1669590805.6,1264,674,0,-1
M_SCR,1669590805.61,1264,674,0,-1
M_SCR,1669590805.618,1264,674,0,-1
M_SCR,1669590805.627,1264,674,0,-1
M_SCR,1669590805.637,1264,674,0,-1
M_SCR,1669590805.645,1264,674,0,-1
M_SCR,1669590805.653,1264,674,0,-1
M_SCR,1669590805.662,1264,674,0,-1
M_SCR,1669590805.671,1264,674,0,-1
M_SCR,1669590805.68,1264,674,0,-1
M_SCR,1669590805.682,1264,674,0,-1
M_SCR,1669590805.688,1264,674,0,-1
M_SCR,1669590805.696,1264,674,0,-1
M_SCR,1669590805.705,1264,674,0,-1
M_SCR,1669590805.714,1264,674,0,-1
M_SCR,1669590805.722,1264,674,0,-1
M_SCR,1669590805.731,1264,674,0,-1
M_SCR,1669590805.739,1264,674,0,-1
M_SCR,1669590805.747,1264,674,0,-1
M_SCR,1669590805.757,1264,674,0,-1
M_SCR,1669590805.766,1264,674,0,-1
M_SCR,1669590805.774,1264,674,0,-1
M_SCR,1669590805.783,1264,674,0,-1
M_SCR,1669590805.791,1264,674,0,-1
M_SCR,1669590805.792,1264,674,0,-1
M_SCR,1669590805.799,1264,674,0,-1
M_SCR,1669590805.808,1264,674,0,-1
M_SCR,1669590805.816,1264,674,0,-1
M_SCR,1669590805.824,1264,674,0,-1
M_SCR,1669590805.834,1264,674,0,-1
M_SCR,1669590805.842,1264,674,0,-1
M_SCR,1669590805.849,1264,674,0,-1
M_SCR,1669590805.858,1264,674,0,-1
M_SCR,1669590805.866,1264,674,0,-1
M_SCR,1669590805.875,1264,674,0,-1
M_SCR,1669590805.883,1264,674,0,-1
M_SCR,1669590805.893,1264,674,0,-1
M_SCR,1669590805.902,1264,674,0,-1
M_SCR,1669590805.91,1264,674,0,-1
M_SCR,1669590805.919,1264,674,0,-1
M_SCR,1669590805.928,1264,674,0,-1
M_SCR,1669590805.936,1264,674,0,-1
M_SCR,1669590805.945,1264,674,0,-1
M_SCR,1669590805.953,1264,674,0,-1
M_SCR,1669590805.962,1264,674,0,-1
M_SCR,1669590805.964,1264,674,0,-1
M_SCR,1669590805.97,1264,674,0,-1
M_SCR,1669590805.978,1264,674,0,-1
M_SCR,1669590805.986,1264,674,0,-1
M_SCR,1669590805.994,1264,674,0,-1
M_SCR,1669590806.01,1264,674,0,-1
M_SCR,1669590806.01,1264,674,0,-1
M_SCR,1669590806.018,1264,674,0,-1
M_SCR,1669590806.034,1264,674,0,-1
M_SCR,1669590806.33,1264,674,0,1
M_SCR,1669590806.338,1264,674,0,1
M_SCR,1669590806.347,1264,674,0,1
M_SCR,1669590806.355,1264,674,0,1
M_SCR,1669590806.365,1264,674,0,1
M_SCR,1669590806.374,1264,674,0,1
M_SCR,1669590806.382,1264,674,0,1
M_SCR,1669590806.39,1264,674,0,1
M_SCR,1669590806.399,1264,674,0,1
M_SCR,1669590806.408,1264,674,0,1
M_SCR,1669590806.416,1264,674,0,1
M_SCR,1669590806.426,1264,674,0,1
M_SCR,1669590806.433,1264,674,0,1
M_SCR,1669590806.435,1264,674,0,1
M_SCR,1669590806.443,1264,674,0,1
M_SCR,1669590806.45,1264,674,0,1
M_SCR,1669590806.457,1264,674,0,1
M_SCR,1669590806.466,1264,674,0,1
M_SCR,1669590806.474,1264,674,0,1
M_SCR,1669590806.482,1264,674,0,1
M_SCR,1669590806.497,1264,674,0,1
M_SCR,1669590806.499,1264,674,0,1
M_SCR,1669590806.505,1264,674,0,1
M_SCR,1669590806.514,1264,674,0,1
M_SCR,1669590806.522,1264,674,0,1
M_SCR,1669590806.53,1264,674,0,1
M_SCR,1669590806.539,1264,674,0,1
M_SCR,1669590806.548,1264,674,0,1
M_SCR,1669590806.557,1264,674,0,1
M_SCR,1669590806.57,1264,674,0,1
M_SCR,1669590806.577,1264,674,0,1
M_SCR,1669590806.587,1264,674,0,1
M_SCR,1669590806.593,1264,674,0,1
M_SCR,1669590806.61,1264,674,0,1
M_SCR,1669590806.611,1264,674,0,1
M_SCR,1669590806.618,1264,674,0,1
M_SCR,1669590806.626,1264,674,0,1
M_SCR,1669590806.641,1264,674,0,1
M_SCR,1669590806.642,1264,674,0,1
M_SCR,1669590806.652,1264,674,0,1
M_SCR,1669590806.66,1264,674,0,1
M_SCR,1669590806.667,1264,674,0,1
M_SCR,1669590806.682,1264,674,0,1
M_SCR,1669590806.691,1264,674,0,1
M_SCR,1669590806.699,1264,674,0,1
M_SCR,1669590806.707,1264,674,0,1
M_SCR,1669590806.715,1264,674,0,1
M_SCR,1669590806.724,1264,674,0,1
M_SCR,1669590806.734,1264,674,0,1
M_SCR,1669590806.742,1264,674,0,1
M_SCR,1669603212.995,1042,450,0,-1
M_SCR,1669603213.053,1043,452,0,-1
M_SCR,1669603216.133,1517,707,0,-1
M_SCR,1669603216.181,1517,707,0,-1
M_SCR,1669603216.213,1517,707,0,-1
M_SCR,1669603799.844,1247,1518,0,1
M_SCR,1669603799.853,1247,1518,0,1
M_SCR,1669603799.862,1247,1518,0,1
M_SCR,1669603799.887,1247,1518,0,1
M_SCR,1669603799.92,1247,1518,0,1
M_SCR,1669603799.944,1247,1518,0,1
M_SCR,1669603800.007,1247,1518,0,1
M_SCR,1669603800.282,1247,1518,0,1
M_SCR,1669603800.299,1247,1518,0,1
M_SCR,1669603800.314,1247,1518,0,1
M_SCR,1669603800.314,1247,1518,0,1
M_SCR,1669603800.321,1247,1518,0,1
M_SCR,1669603800.329,1247,1518,0,1
M_SCR,1669603800.345,1247,1518,0,1
M_SCR,1669603800.353,1247,1518,0,1
M_SCR,1669603800.361,1247,1518,0,1
M_SCR,1669603800.369,1247,1518,0,1
M_SCR,1669603800.378,1247,1518,0,1
M_SCR,1669603800.387,1247,1518,0,1
M_SCR,1669603800.397,1247,1518,0,1
M_SCR,1669603800.404,1247,1518,0,1
M_SCR,1669603800.413,1247,1518,0,1
M_SCR,1669603800.421,1247,1518,0,1
M_SCR,1669603800.431,1247,1518,0,1
M_SCR,1669603800.44,1247,1518,0,1
M_SCR,1669603800.449,1247,1518,0,1
M_SCR,1669603800.45,1247,1518,0,1
M_SCR,1669603800.457,1247,1518,0,1
M_SCR,1669603800.467,1247,1518,0,1
M_SCR,1669603800.475,1247,1518,0,1
M_SCR,1669603800.484,1247,1518,0,1
M_SCR,1669603800.493,1247,1518,0,1
M_SCR,1669603800.501,1247,1518,0,1
M_SCR,1669603800.51,1247,1518,0,1
M_SCR,1669603800.524,1247,1518,0,1
M_SCR,1669603800.532,1247,1518,0,1
M_SCR,1669603800.548,1247,1518,0,1
M_SCR,1669603800.548,1247,1518,0,1
M_SCR,1669603800.555,1247,1518,0,1
M_SCR,1669603800.563,1247,1518,0,1
M_SCR,1669603800.571,1247,1518,0,1
M_SCR,1669603800.579,1247,1518,0,1
M_SCR,1669603800.595,1247,1518,0,1
M_SCR,1669603800.597,1247,1518,0,1
M_SCR,1669603800.603,1247,1518,0,1
M_SCR,1669603800.612,1247,1518,0,1
M_SCR,1669603800.628,1247,1518,0,1
M_SCR,1669603800.636,1247,1518,0,1
M_SCR,1669603800.645,1247,1518,0,1
M_SCR,1669603800.653,1247,1518,0,1
M_SCR,1669603800.662,1247,1518,0,1
M_SCR,1669603800.671,1247,1518,0,1
M_SCR,1669603800.679,1247,1518,0,1
M_SCR,1669603800.688,1247,1518,0,1
M_SCR,1669603800.696,1247,1518,0,1
M_SCR,1669603800.705,1247,1518,0,1
M_SCR,1669603800.714,1247,1518,0,1
M_SCR,1669603800.724,1247,1518,0,1
M_SCR,1669603800.732,1247,1518,0,1
M_SCR,1669603800.742,1247,1518,0,1
M_SCR,1669603800.751,1247,1518,0,1
M_SCR,1669603800.759,1247,1518,0,1
M_SCR,1669603800.768,1247,1518,0,1
M_SCR,1669603800.776,1247,1518,0,1
M_SCR,1669603800.787,1247,1518,0,1
M_SCR,1669603800.798,1247,1518,0,1
M_SCR,1669603800.806,1247,1518,0,1
M_SCR,1669603800.814,1247,1518,0,1
M_SCR,1669603800.829,1247,1518,0,1
M_SCR,1669603800.831,1247,1518,0,1
M_SCR,1669603800.838,1247,1518,0,1
M_SCR,1669603800.854,1247,1518,0,1
M_SCR,1669603800.861,1247,1518,0,1
M_SCR,1669603800.87,1247,1518,0,1
M_SCR,1669603800.878,1247,1518,0,1
M_SCR,1669603800.886,1247,1518,0,1
M_SCR,1669603800.895,1247,1518,0,1
M_SCR,1669603800.909,1247,1518,0,1
M_SCR,1669603800.944,1247,1518,0,1
M_SCR,1669603800.967,1247,1518,0,1
M_SCR,1669603800.992,1247,1518,0,1
M_SCR,1669603801.015,1247,1518,0,1
M_SCR,1669603801.04,1247,1518,0,1
M_SCR,1669603804.441,2674,1578,0,-1
M_SCR,1669603805.843,2673,1581,0,-1
M_SCR,1669603806.051,2673,1581,0,-1
M_SCR,1669603811.71,2597,1507,0,-1
M_SCR,1669603811.961,2597,1507,0,-1
M_SCR,1669603812.045,2597,1507,0,-1
M_SCR,1669603812.603,2618,1528,0,1
M_SCR,1669603812.634,2619,1528,0,1
M_SCR,1669603812.667,2619,1528,0,1
M_SCR,1669603812.707,2619,1528,0,1
M_SCR,1669603813.217,2619,1528,0,1
M_SCR,1669603813.23,2619,1528,0,1
M_SCR,1669603813.487,2619,1528,0,1
M_SCR,1669603813.957,2619,1528,0,1
M_SCR,1669603817.086,2623,1553,0,-1
M_SCR,1669603819.258,2667,1554,0,-1
M_SCR,1669603819.29,2667,1554,0,-1
M_SCR,1669603819.718,2667,1554,0,1
M_SCR,1669603820.314,2667,1554,0,1
M_SCR,1669603820.54,2667,1554,0,1
M_SCR,1669603821.378,2667,1554,0,1
M_SCR,1669603821.635,2667,1554,0,1
M_SCR,1669603821.732,2667,1554,0,1
M_SCR,1669603825.849,2665,1536,0,-1
M_SCR,1669603827.163,2667,1543,0,-1
M_SCR,1669603832.066,2528,1364,0,1
M_SCR,1669603832.22,2529,1365,0,-1
M_SCR,1669603833.285,2622,1423,0,1
M_SCR,1669603833.765,2715,1472,0,-1
M_SCR,1669603833.773,2715,1472,0,-1
M_SCR,1669603833.782,2715,1472,0,-1
M_SCR,1669603833.798,2715,1472,0,-1
M_SCR,1669603833.805,2715,1472,0,-1
M_SCR,1669603833.813,2715,1472,0,-1
M_SCR,1669603851.176,2591,1463,0,1
M_SCR,1669603852.321,2591,1463,0,-1
M_SCR,1669603852.335,2591,1463,0,-1
M_SCR,1669603852.354,2591,1463,0,-1
M_SCR,1669603853.062,2591,1463,0,-1
M_SCR,1669603853.085,2591,1463,0,-1
M_SCR,1669603853.11,2591,1463,0,-1
M_SCR,1669603853.481,2591,1463,0,1
M_SCR,1669603853.521,2591,1463,0,1
M_SCR,1669603857.22,2602,1447,0,1
M_SCR,1669603857.334,2602,1447,0,1
M_SCR,1669603857.373,2602,1447,0,1
M_SCR,1669603857.455,2602,1447,0,1
M_SCR,1669603857.815,2602,1447,0,1
M_SCR,1669603863.125,2845,1516,0,-1
M_SCR,1669603863.164,2844,1517,0,-1
M_SCR,1669603863.192,2844,1517,0,-1
M_SCR,1669603863.224,2844,1517,0,-1
M_SCR,1669603863.271,2844,1517,0,-1
M_SCR,1669603863.749,2844,1517,0,-1
M_SCR,1669603863.772,2844,1517,0,-1
M_SCR,1669603863.787,2844,1517,0,-1
M_SCR,1669603863.836,2844,1517,0,-1
M_SCR,1669603865.79,2783,1496,0,-1
M_SCR,1669603865.884,2782,1496,0,-1
M_SCR,1669603875.224,2662,1521,0,-1
M_SCR,1669603879.713,2679,1551,0,1
M_SCR,1669603880.019,2679,1551,0,1
M_SCR,1669603880.106,2679,1551,0,1
M_SCR,1669603880.129,2679,1551,0,1
M_SCR,1669603881.259,2679,1551,0,1
M_SCR,1669603884.675,2679,1551,0,-1
M_SCR,1669603884.689,2679,1551,0,-1
M_SCR,1669603884.697,2679,1551,0,-1
M_SCR,1669603884.707,2679,1551,0,-1
M_SCR,1669603884.716,2679,1551,0,-1
M_SCR,1669603884.729,2679,1551,0,-1
M_SCR,1669603884.739,2679,1551,0,-1
M_SCR,1669603884.748,2679,1551,0,-1
M_SCR,1669603884.763,2679,1551,0,-1
M_SCR,1669603884.772,2679,1551,0,-1
M_SCR,1669603884.781,2679,1551,0,-1
M_SCR,1669603884.795,2679,1551,0,-1
M_SCR,1669603884.804,2679,1551,0,-1
M_SCR,1669603884.813,2679,1551,0,-1
M_SCR,1669603884.827,2679,1551,0,-1
M_SCR,1669603884.835,2679,1551,0,-1
M_SCR,1669603884.851,2679,1551,0,-1
M_SCR,1669603884.859,2679,1551,0,-1
M_SCR,1669603884.867,2679,1551,0,-1
M_SCR,1669603884.875,2679,1551,0,-1
M_SCR,1669603884.891,2679,1551,0,-1
M_SCR,1669603884.899,2679,1551,0,-1
M_SCR,1669603884.906,2679,1551,0,-1
M_SCR,1669603884.923,2679,1551,0,-1
M_SCR,1669603884.931,2679,1551,0,-1
M_SCR,1669603884.94,2679,1551,0,-1
M_SCR,1669603884.949,2679,1551,0,-1
M_SCR,1669603884.962,2679,1551,0,-1
M_SCR,1669603884.97,2679,1551,0,-1
M_SCR,1669603884.987,2679,1551,0,-1
M_SCR,1669603884.996,2679,1551,0,-1
M_SCR,1669603885.005,2679,1551,0,-1
M_SCR,1669603885.019,2679,1551,0,-1
M_SCR,1669603885.029,2679,1551,0,-1
M_SCR,1669603885.043,2679,1551,0,-1
M_SCR,1669603885.053,2679,1551,0,-1
M_SCR,1669603885.062,2679,1551,0,-1
M_SCR,1669603885.077,2679,1551,0,-1
M_SCR,1669603885.094,2679,1551,0,-1
M_SCR,1669603885.101,2679,1551,0,-1
M_SCR,1669603885.109,2679,1551,0,-1
M_SCR,1669603885.125,2679,1551,0,-1
M_SCR,1669603885.133,2679,1551,0,-1
M_SCR,1669603885.142,2679,1551,0,-1
M_SCR,1669603885.158,2679,1551,0,-1
M_SCR,1669603885.166,2679,1551,0,-1
M_SCR,1669603885.181,2679,1551,0,-1
M_SCR,1669603898.632,2605,1540,0,-1
M_SCR,1669603898.745,2605,1540,0,-1
M_SCR,1669603898.826,2605,1540,0,-1
M_SCR,1669607705.408,1452,1211,0,1
M_SCR,1669607705.411,1452,1211,0,1
M_SCR,1669607705.418,1452,1211,0,1
M_SCR,1669607705.435,1452,1211,0,1
M_SCR,1669607705.442,1452,1211,0,1
M_SCR,1669607705.458,1452,1211,0,1
M_SCR,1669607705.484,1452,1211,0,1
M_SCR,1669607705.5,1452,1211,0,1
M_SCR,1669607705.536,1453,1211,0,1
M_SCR,1669607705.56,1453,1211,0,1
M_SCR,1669607705.886,1453,1211,0,1
M_SCR,1669607708.45,2623,1369,0,-1
M_SCR,1669607708.61,2623,1369,0,-1
M_SCR,1669607708.634,2623,1369,0,-1
M_SCR,1669607708.658,2623,1369,0,-1
M_SCR,1669607709.666,2623,1369,0,-1
M_SCR,1669607710.568,2680,1428,0,-1
M_SCR,1669607710.834,2680,1428,0,-1
